id	tweet	subtask_a	subtask_b	subtask_c
84131	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	NOT		
28601	@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	NOT		
95712	@USER Do they discuss Haiti?	NOT		
69972	@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	OFF	TIN	IND
80696	@USER You are amazing 💛💛💛	NOT		
68163	@USER Fist pump was for the troops.	NOT		
96789	"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"""	OFF	TIN	GRP
68629	@USER Let the leftist democrats riot in the streets with their antifa counterparts.	OFF	TIN	IND
19419	@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias	NOT		
32942	@USER He is doing life tho😑	NOT		
77319	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	OFF	TIN	IND
30517	@USER @USER @USER Have you seen or listened to your ANTIFA pals?	NOT		
69077	@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.	NOT		
47168	@USER And who seems to be getting things done.	NOT		
49504	@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!	OFF	TIN	GRP
66291	@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.	NOT		
88546	@USER Absolutely should be a nail in the coffin.... for Hilliary	OFF	TIN	IND
29241	@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄	NOT		
19842	@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.	NOT		
36471	@USER @USER Doesn't he partly fund Antifa?	NOT		
62072	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	OFF	TIN	GRP
95444	@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	OFF	TIN	IND
51172	@USER @USER O.K. Conservatives get to the polls. Vote red.	NOT		
62481	@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail	OFF	TIN	IND
78366	@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.	NOT		
39021	@USER Oh my Carmen. He is SO FRICKING CUTE	OFF	TIN	IND
68840	@USER Chelsea is as crazy as her mother	OFF	TIN	IND
96837	@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.	NOT		
62023	"@USER   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA""! URL"	NOT		
10253	@USER @USER you are awesome! Thank you. You give humanity hope!	NOT		
33797	@USER Another uninformed	NOT		
11160	@USER I forgot he is their foster child!	NOT		
32916	"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"""	OFF	TIN	GRP
18547	@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	OFF	TIN	GRP
32688	@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense	NOT		
57850	"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)"""	NOT		
82607	@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.	OFF	TIN	GRP
82339	@USER Yes do hurt your selves gun control freaks.	OFF	TIN	GRP
62815	@USER He always shows dedication at what he does no wonder he is the best URL	NOT		
53501	@USER the owner of my culo	OFF	TIN	IND
69928	Now she scarred herself for life lol #MAGA URL	OFF	TIN	IND
13872	Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	OFF	TIN	GRP
30791	@USER Reagan also signed the first gun control bill as governor of CA	NOT		
54292	30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL	NOT		
52375	"(1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of school shootings.""  (3) Who buys .22 caliber handguns? Why? URL"	NOT		
74004	@USER @USER Leftists showing yet again how vile they can be	OFF	TIN	GRP
70838	@USER He is a drunk crazy man.	OFF	TIN	IND
44448	@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.	NOT		
45337	@USER But Liberals do.	NOT		
63292	@USER dont know who you are so imma just URL	NOT		
15991	@USER All that money hadn't made u smarter.	OFF	TIN	IND
25009	@USER Yes!! He is from Gilmer!! It makes me laugh so much!	NOT		
65785	@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!	NOT		
77653	@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	NOT		
12892	@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her	NOT		
46581	@USER Yes she is	NOT		
22717	@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.	NOT		
88539	"@USER @USER Aha yes, I see that. The individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not."""	NOT		
54437	@USER And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.	NOT		
57943	@USER You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.	NOT		
34317	"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others""."""	OFF	TIN	IND
44837	@USER @USER SOROS is at the root of everything and anything anti American. He has his money in Hollywood all the way to Islam and ANTIFA to illegals . URL	NOT		
36289	#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL	OFF	TIN	GRP
80570	@USER @USER Truly has got to be the most idiotic thing I've ever seen.	OFF	UNT	
43185	@USER @USER Brigitte Gabriel has experienced a life that most would have nightmares from. She is sounding the alarm for Americans. Buy her book pay attention to what she is warning America about	NOT		
86477	@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work. If you want to control a population.  Australian gun control had no effect on homicides.	OFF	TIN	OTH
96270	@USER @USER @USER @USER Antifa = Democrats = Dixiecrats = KKK URL URL	NOT		
44015	@USER @USER Liberals ruin everything!	OFF	TIN	GRP
48060	"@USER @USER @USER And don't forget his telling a primarily black liberal audience conservatives want to put them back in chains"""""	NOT		
11411	@USER That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.	OFF	TIN	GRP
10133	@USER @USER You look happy .MAGA	OFF	TIN	IND
22128	@USER @USER @USER Trump proposes racial profiling as a tactic 'to start thinking about' URL	NOT		
36518	@USER Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL	NOT		
99618	"@USER @USER Exactly. He is on record basically saying the President is above the law."" It should be noted that the #gop is fine with this. Rudy has his own issues. URL"	NOT		
53309	#KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded ‘Unprecedented’ Armed Protection for Gun Control Sen. Kamala Harris URL via @USER	NOT		
29497	@USER Yet she is fat herself.	OFF	TIN	IND
50315	@USER @USER You don’t understand who he is and is capablities. Despite the proof in the economy.  My hypothesis is that you have been lied to by liberals your entire life and are believing what you are told. The liberal media made bill Clinton look good and could do the same with trump.	NOT		
97959	..oath must be subpoenaed to testify. There is a lifetime appointment at stake here. Please do it right this time &amp; do not allow  Orrin Hatch who has already made up his mind she is lying be allowed to question her. His kind of questions could invite a lawsuit.	NOT		
97300	@USER @USER @USER What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL	OFF	TIN	IND
12919	@USER Indeed he is.	NOT		
40855	@USER @USER @USER Because i'm a little concerned about the Q followers because they slowly become more and more a sort of right wing sjw antifa thingie  (Also excuse me for my horrible English it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks. 😅)	NOT		
21270	@USER Wow you are so hot 😍😍😍😍😗😗😗😗😗	NOT		
41818	@USER she is the most deserving woman to be happy !!	NOT		
84523	Just watching a Horizon show  about scientists that discovered a DNA mix between humans and Neanderthals.Would have thought Trump getting elected would have been proof enough. #MAGA	NOT		
61917	@USER @USER I hope there is a way to watch it on TV.  Ted spanking liberals is always enjoyable.	NOT		
42540	@USER I’m sure he is. 💜	NOT		
13881	@USER @USER Send him this @USER party #manifesto where they promised they will help families maybe that will remind him his duties. #HostileEnvironment #PriceOnLove #SkypeFamilies @USER @USER @USER URL	NOT		
83462	@USER @USER But antifa is her people	NOT		
87206	@USER @USER We had a Peoples Vote on 23 June 2016. The people rejected the craven @USER worship which you stand for - by a majority of over 1m. You’re contemptuously defying the will of the people &amp; @USER 2017 GE manifesto &amp; supporting Soros in undermining democracy instead	NOT		
75848	*mom speaks into her phone to compose a text for my brother* she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling 🤦🏻‍♀️	NOT		
14948	@USER @USER Melting snow flakes	NOT		
38561	@USER @USER You're shocked to hear that liberals want to centralize power at the federal level?	NOT		
55203	@USER @USER HE IS BEST OF THE BEST!😍😍	NOT		
60916	@USER Fast and Furious Holder lol	NOT		
97277	@USER Getting scared ugly man?	OFF	TIN	IND
63113	@USER is one of the only shows that are a Progressive that I can stand to watch. He dislikes the right and left evenly and you know who he is right from the start. If you've never seen his show check it out on YouTube. Insightful ❤🇺🇸 #MAGA	NOT		
53839	@USER God I hope not! URL	NOT		
15616	@USER @USER @USER Yes he is	NOT		
48548	@USER 2 Republican Men in a picture 85 and 84 what are men of that age are Law Makers too old no sorry young Republicans are like young Conservatives they are all born at 40 years of age	NOT		
83751	@USER @USER @USER Liberals can’t meme. They have no sense of humor or knowledge of meme-ing philosophy.	NOT		
18474	"@USER Why the focus on the Proud Boys? I know you're not a real journalist, Kelly, but why not focus on the ones doing all of the violence? #ANTIFA  If you want a story; focus on why journalists"" (leftist activists) are constantly ignoring Antifa's attacks on people."""	NOT		
33096	@USER Hahaha BIG thighs is not going to make it	OFF	TIN	IND
22879	@USER @USER @USER @USER It’s called educating liberals.	NOT		
81470	"#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots @USER  #BrettKavanaugh had this to say about Bill Clinton during Whitewater:   It's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   Indeed. URL"	OFF	TIN	IND
20322	"#MAGA people are very low IQ. GDP Growth"" means LITERALLY NOTHING. In no way does this translate to higher income for white familes or individuals. All that billions goes to companies or government.   And what jobs did he create? Labour which pays less than living wage lmao? URL"	OFF	TIN	IND
34961	@USER @USER @USER @USER @USER @USER @USER @USER Trash	NOT		
14285	@USER @USER Very pathetic man !	OFF	TIN	IND
25012	@USER @USER @USER She is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism 😀😀😀😀	NOT		
56949	@USER @USER She is an angel! Much love to her!	NOT		
90958	@USER @USER The tolerant Left	NOT		
42133	@USER @USER @USER @USER @USER @USER You must be talking about hateful conservatives.	OFF	TIN	GRP
18834	@USER @USER Thats correct!!! #MAGA	OFF	TIN	IND
42528	@USER If bobby is fit thats exactly what i would say but not sure if he is or not	NOT		
29300	"@USER The only white people that thank Jesus are Republicans &amp; ex-crackheads"" - so say America-hating liberals about Christians. Many ex-Dems thank Jesus too- &amp; many former Emmys watchers. We thank Jesus DAILY for our country, our @USER &amp; the ability to TURN YOU OFF! @USER"	NOT		
38043	@USER @USER @USER This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts. @USER  @USER  @USER	OFF	TIN	IND
76709	"@USER @USER @USER @USER This is great! Mark The Great One"" Levin and Candace ""The Great"" Owens together! This team is unbeatable! They just sent liberals into a frenzy again! A whole block of liberal voters just had their heads explode! And...sadly, Alyssa Milano just wet her pants again! Great team!"""	OFF	TIN	GRP
22728	@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL	OFF	TIN	GRP
14037	@USER @USER @USER You are grossly misinterpreting who is against this. People across all parties condemn this action. Look no further than Bill Davis and Brian Mulroney to see that even conservatives think this is a horrible decision.	NOT		
11640	@USER @USER @USER @USER I wasn't proposing scare tactics. I really meant what I said. Trump can easily pull the good maga Republicans and can easily steal enough votes from GOP Dem and independents and will bring fresh breath to our rotten politics. Think about it.	OFF	TIN	IND
47009	@USER @USER @USER @USER Only a liberal would support a liberal that spent a MILLION to get liberals elected to office. #LibFAIL! URL	OFF	TIN	GRP
90912	@USER Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟	NOT		
97936	@USER It’s so weirdly vicious and bitter to extrapolate from ‘everyone should have access to decent healthcare’ to ‘Liberals think all criminals should be free.’  It reveals a pretty brutalist and impenetrable mind.	OFF	TIN	GRP
23853	#Health &amp; #Nature under threat from #UK #US @USER URL	NOT		
58454	@USER @USER Why didn't Kavanaugh need terms? Guilty people: those are the ones that need terms.  Let me clue you in: they're worried that she is going to make a terrible impression and will not be believable. They're trying to manage that concern.	NOT		
74670	@USER Antifa has no place in society!	NOT		
45111	@USER @USER has two votes in our home!  West Texas is stoked about him!  He is inspiring!  He can do this!	NOT		
72024	@USER Why? Why are liberals so trashy?	OFF	TIN	GRP
28728	@USER He never did show much intelligence.	NOT		
98547	@USER Yes I saw this and I will say tapper kept basket her and she kept coming back with stupid answers And he finally gave up I don’t think he is a big fan of her policies he’s not that stupid please	OFF	TIN	IND
80430	@USER Are you sure she was't just thinking about herself.	NOT		
88809	@USER @USER @USER Here's the problem...if you go back to Fast and Furious you have proof that the ATF was looking to influence gun control in the US. It may be preposterous that the government would fake Sandy Hook isn't facilitating a drug war somewhat similar?	NOT		
71577	@USER All you need to know is he is empty inside	OFF	TIN	IND
15863	@USER Oh dear. I’m so sorry you are having migraine. I have them as well. Sending up prayers for you. ❤️😊🌹	NOT		
17391	@USER The Liberals are mentally unstable!!	OFF	TIN	GRP
34443	@USER @USER Who authorized a search warrant of mr Jean home?  Racist what about her drug test. This is premediated murder. He will not be slandered. He is the victim.	OFF	TIN	IND
19732	@USER Dude.. Why r u trolling Ash rock z? 😁.. He is our guy.. Just in a hurry to see bjp govt in state.	NOT		
52972	@USER @USER She’s said before that she will always be praying for him even tho she can’t do anything. I’m sure she is heart broken as well at the events	NOT		
39866	@USER Get a life!	NOT		
18348	@USER Containers of Hurricane Donations Found Rotting in Puerto Rico Parking Lot URL	NOT		
75384	@USER The suicide rate in America is similar to other countries that have strict gun control.They use other URL the U.K. jumping from cliffs and bridges is a common method.	NOT		
68664	@USER Are you joining ANTIFA?	NOT		
83290	5/5 Canada has regulated firearms since the last quarter of the 19th century. Those laws have probably contributed to Canada having only 1% as many handguns in circulation as in the US.  URL	NOT		
22185	@USER @USER @USER i have heard he is making waves	OFF	TIN	IND
13257	@USER It’s Anita Hill versus Clarence Thomas all over again. I hope this confirmation process has the same end result.  #MAGA 😊👍🏼👏🏼🙏🏼✌🏼👮🏻👩🏻‍✈️🇺🇸🇵🇷	NOT		
37630	3rd time in my teacher career that I’ve had a parent tell me that he/she is praying for me. I always consider that a win 👏🏻👏🏻 #teacherlife #prayalloftheprayers URL	NOT		
51377	@USER you are most welcome!!! #WhysJamesCryin???	NOT		
14407	@USER Brown like you	NOT		
87366	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You ladies always make me smile..if you know what I mean 😛	NOT		
79972	@USER Once again it's been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the #2A. Criminal *don't* care about gun laws.	OFF	TIN	GRP
38981	"@USER @USER @USER @USER Nothing abusive should ever be done to anyone!  Including the women and people of this country she is putting under horrible stress worrying about what she is going to do.  This should have been an easy NO"" from her if she is who she says she is.  And I agree with you Gabby!"""	NOT		
95773	@USER @USER She is a fake. Vote her out. Now she wants sympathy.	OFF	TIN	IND
94397	@USER @USER Ask Antifa - Which one they like &amp; respect	NOT		
51053	10kids from different women from this American jobless men? Nigerian men you are the bomb!!!	OFF	TIN	OTH
80767	@USER @USER @USER Dont have anything to do with Trump or any conservatives. Refuse to trade with them in business	NOT		
63772	@USER @USER @USER got him signing my book......he is a cute URL	NOT		
98754	@USER Nhs is only the way it is because we have a over populated country  Conservatives have privertised were nhs buys from	NOT		
52965	@USER @USER Gun control anyone? #DisarmHate	NOT		
46633	@USER @USER I am beginning to believe that all liberals are sociopaths. None of the people here believe in rule of law. You have to have evidence of a crime to go any further #ConfirmBrettKavanaughNow	NOT		
82171	@USER @USER Because 45% of Americans are too lazy to vote.  Non-voters skew liberal. And too many liberals who do vote throw their vote away on 3rd party losers. Next question?	OFF	TIN	OTH
54467	@USER I can't wait to see his MAGA tat across his chest with a picture of Mueller.	NOT		
50936	"@USER @USER I'm sure he doesn't call his gated community's private security firm Bull Connors"" though. It's funny: Now liberals LOVE privatization of police!"""	OFF	TIN	GRP
